time,temperature_2m,relative_humidity_2m,wind_speed_10m,apparent_temperature
2023-12-26 11:00:00,8.4,78,15.0,4.9
2023-12-26 12:00:00,8.8,76,14.0,5.5
2023-12-26 13:00:00,8.9,74,12.9,5.7
2023-12-26 14:00:00,8.8,75,8.8,6.2
2023-12-26 15:00:00,7.7,84,4.5,5.9
2023-12-26 16:00:00,6.4,86,7.0,4.0
2023-12-26 17:00:00,5.1,93,6.2,2.8
2023-12-26 18:00:00,4.6,94,4.7,2.4
2023-12-26 19:00:00,4.4,96,5.2,2.2
2023-12-26 20:00:00,5.0,95,7.5,2.5
2023-12-26 21:00:00,4.9,94,7.4,2.4
2023-12-26 22:00:00,5.6,92,8.9,2.9
2023-12-26 23:00:00,6.1,90,10.5,3.2
2023-12-27 00:00:00,6.6,89,11.0,3.7
2023-12-27 01:00:00,6.9,86,11.8,3.9
2023-12-27 02:00:00,7.2,89,12.6,4.3
2023-12-27 03:00:00,7.5,93,14.4,4.5
2023-12-27 04:00:00,7.9,95,12.6,5.3
2023-12-27 05:00:00,9.3,95,13.8,6.9
2023-12-27 06:00:00,10.3,93,18.6,7.4
2023-12-27 07:00:00,10.6,91,21.7,7.2
2023-12-27 08:00:00,10.9,90,25.3,7.1
2023-12-27 09:00:00,11.1,90,25.6,7.2
2023-12-27 10:00:00,11.2,88,31.4,6.5
2023-12-27 11:00:00,11.2,87,32.7,6.3
2023-12-27 12:00:00,11.5,85,32.5,6.6
2023-12-27 13:00:00,11.6,86,32.6,6.7
2023-12-27 14:00:00,11.7,85,32.7,6.8
2023-12-27 15:00:00,11.3,89,33.4,6.4
2023-12-27 16:00:00,11.7,88,36.4,6.3
2023-12-27 17:00:00,11.8,89,36.2,6.5
2023-12-27 18:00:00,11.6,87,29.8,7.1
2023-12-27 19:00:00,11.2,81,29.1,6.4
2023-12-27 20:00:00,10.4,81,28.8,5.5
2023-12-27 21:00:00,10.3,78,29.5,5.1
2023-12-27 22:00:00,10.2,77,31.1,4.8
2023-12-27 23:00:00,10.3,76,32.1,4.7
2023-12-28 00:00:00,10.4,74,35.2,4.3
2023-12-28 01:00:00,11.3,73,38.8,4.8
2023-12-28 02:00:00,11.5,72,38.4,5.0
2023-12-28 03:00:00,11.6,72,38.0,5.3
2023-12-28 04:00:00,11.3,72,34.4,5.4
2023-12-28 05:00:00,11.1,74,33.2,5.4
2023-12-28 06:00:00,10.8,76,31.4,5.4
2023-12-28 07:00:00,10.5,76,30.3,5.2
2023-12-28 08:00:00,10.6,74,30.9,5.2
2023-12-28 09:00:00,10.9,73,31.7,5.4
2023-12-28 10:00:00,11.3,73,33.7,5.5
2023-12-28 11:00:00,11.8,72,33.4,6.1
2023-12-28 12:00:00,11.7,74,33.1,6.2
2023-12-28 13:00:00,11.7,76,32.1,6.4
2023-12-28 14:00:00,11.7,76,32.4,6.4
2023-12-28 15:00:00,11.2,78,29.3,6.3
2023-12-28 16:00:00,11.0,77,34.6,5.2
2023-12-28 17:00:00,10.7,80,29.6,5.7
2023-12-28 18:00:00,10.7,81,30.6,5.6
2023-12-28 19:00:00,10.4,84,29.8,5.5
2023-12-28 20:00:00,10.4,84,29.4,5.5
2023-12-28 21:00:00,10.1,84,27.6,5.4
2023-12-28 22:00:00,9.5,84,25.6,5.0
2023-12-28 23:00:00,9.3,81,26.2,4.6
2023-12-29 00:00:00,9.2,79,26.2,4.3
2023-12-29 01:00:00,9.3,78,24.0,4.8
2023-12-29 02:00:00,9.5,76,28.2,4.3
2023-12-29 03:00:00,9.3,77,24.6,4.6
2023-12-29 04:00:00,9.1,82,21.3,5.1
2023-12-29 05:00:00,9.5,83,23.3,5.3
2023-12-29 06:00:00,9.5,84,21.1,5.6
2023-12-29 07:00:00,9.1,85,20.6,5.3
2023-12-29 08:00:00,8.4,88,18.8,4.7
2023-12-29 09:00:00,8.5,85,18.8,4.8
2023-12-29 10:00:00,9.2,83,18.2,5.7
2023-12-29 11:00:00,10.1,80,16.1,7.0
2023-12-29 12:00:00,10.8,77,18.3,7.3
2023-12-29 13:00:00,10.6,81,25.8,6.2
2023-12-29 14:00:00,10.0,80,22.9,5.8
2023-12-29 15:00:00,9.8,77,22.9,5.4
2023-12-29 16:00:00,9.0,76,24.0,4.3
2023-12-29 17:00:00,8.6,77,24.7,3.7
2023-12-29 18:00:00,8.2,78,24.3,3.4
2023-12-29 19:00:00,7.8,79,23.6,3.1
